country_,gdp_mean,gdp_sum,biofuel_cons_change_pct_mean,biofuel_cons_change_pct_sum,biofuel_share_elec_mean,biofuel_share_elec_sum,biofuel_share_energy_mean,biofuel_share_energy_sum,hydro_cons_change_pct_mean,hydro_cons_change_pct_sum,hydro_share_elec_mean,hydro_share_elec_sum,hydro_share_energy_mean,hydro_share_energy_sum,nuclear_cons_change_pct_mean,nuclear_cons_change_pct_sum,nuclear_share_elec_mean,nuclear_share_elec_sum,nuclear_share_energy_mean,nuclear_share_energy_sum,solar_cons_change_pct_mean,solar_cons_change_pct_sum,solar_share_elec_mean,solar_share_elec_sum,solar_share_energy_mean,solar_share_energy_sum,wind_cons_change_pct_mean,wind_cons_change_pct_sum,wind_share_elec_mean,wind_share_elec_sum,wind_share_energy_mean,wind_share_energy_sum,fossil_cons_change_pct_mean,fossil_cons_change_pct_sum,fossil_share_energy_mean,fossil_share_energy_sum,fossil_share_elec_mean,fossil_share_elec_sum,renewables_cons_change_pct_mean,renewables_cons_change_pct_sum,renewables_share_energy_mean,renewables_share_energy_sum,renewables_share_elec_mean,renewables_share_elec_sum
Barbados,3516161024.0,14064644096.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,5.34975,21.399,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,94.65025,378.601,,0.0,,0.0,5.34975,21.399
Belarus,178435000000.0,892175000000.0,-24.6862,-123.431,1.0162,5.081,0.041,0.20500000000000002,-2.4307999999999996,-12.153999999999998,0.9212,4.606,0.308,1.54,795.6564999999999,1591.3129999999999,5.1896,25.948,1.7997999999999998,8.998999999999999,29.4206,147.103,0.5189999999999999,2.5949999999999998,0.16119999999999998,0.8059999999999999,16.129,80.64500000000001,0.4346,2.173,0.1432,0.716,0.6376000000000002,3.1880000000000006,97.3308,486.654,91.7128,458.564,4.5222,22.610999999999997,0.8695999999999999,4.348,2.7774,13.887
Belgium,454384000000.0,2271920000000.0,11.3196,56.598,5.675,28.375,1.0131999999999999,5.066,6.4114,32.057,0.3322,1.661,0.1182,0.591,6.4163999999999985,32.081999999999994,44.5404,222.702,14.266200000000001,71.331,15.515199999999998,77.576,5.8338,29.169,1.9140000000000001,9.57,13.838999999999999,69.195,12.0672,60.336,4.0342,20.171,-1.9518,-9.759,76.3918,381.959,31.551599999999997,157.75799999999998,9.109,45.545,9.342,46.71,23.907999999999998,119.53999999999999
Belize,,0.0,,0.0,21.200249999999997,84.80099999999999,,0.0,,0.0,22.785,91.14,,0.0,,0.0,0.0,0.0,,0.0,,0.0,1.07775,4.311,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,54.937,219.748,,0.0,,0.0,45.063,180.252
Benin,26682034176.0,106728136704.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,3.37875,13.515,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,96.62125,386.485,,0.0,,0.0,3.37875,13.515
Bermuda,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Bhutan,,0.0,,0.0,0.0,0.0,,0.0,,0.0,100.0,400.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,100.0,400.0
Bolivia,75704713216.0,378523566080.0,,0.0,8.1066,40.533,,0.0,,0.0,29.187599999999996,145.938,,0.0,,0.0,0.0,0.0,,0.0,,0.0,3.0884,15.442,,0.0,,0.0,1.4876,7.438000000000001,,0.0,,0.0,,0.0,58.1294,290.647,,0.0,,0.0,41.8706,209.353
Bosnia and Herzegovina,41286324224.0,206431621120.0,,0.0,0.0598,0.299,,0.0,,0.0,34.629599999999996,173.148,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.36219999999999997,1.811,,0.0,,0.0,1.6948,8.474,,0.0,,0.0,,0.0,63.254200000000004,316.271,,0.0,,0.0,36.745799999999996,183.72899999999998
Botswana,35844341760.0,143377367040.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.4015,1.606,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,99.5985,398.394,,0.0,,0.0,0.4015,1.606
